latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,brightness,cluster_label
-27.45292,-57.12381,343.4,0.56,0.68,2025-09-06,1828,N,VIIRS,60,2.0NRT,289.14,6.15,D,343.4,3
-27.43388,-64.85624,333.9,0.4,0.44,2025-09-06,1828,N,VIIRS,60,2.0NRT,302.55,5.03,D,333.9,3
-27.42978,-57.32462,336.9,0.54,0.68,2025-09-06,1828,N,VIIRS,60,2.0NRT,288.46,4.24,D,336.9,0
-27.39955,-65.40482,334.68,0.56,0.43,2025-09-06,1828,N,VIIRS,60,2.0NRT,304.01,5.19,D,334.68,0
-27.39732,-65.50034,334.39,0.56,0.43,2025-09-06,1828,N,VIIRS,60,2.0NRT,301.79,5.23,D,334.39,3
-27.39623,-65.4947,334.57,0.56,0.43,2025-09-06,1828,N,VIIRS,60,2.0NRT,300.25,6.24,D,334.57,0
-27.33917,-62.23205,333.18,0.57,0.52,2025-09-06,1828,N,VIIRS,60,2.0NRT,299.19,2.35,D,333.18,8
-27.33642,-65.29372,336.72,0.57,0.43,2025-09-06,1828,N,VIIRS,60,2.0NRT,303.71,5.43,D,336.72,0
-27.32701,-57.45565,337.53,0.54,0.68,2025-09-06,1828,N,VIIRS,60,2.0NRT,288.0,5.55,D,337.53,0
-27.32628,-59.14303,331.68,0.43,0.62,2025-09-06,1828,N,VIIRS,60,2.0NRT,290.38,1.87,D,331.68,0
-27.29215,-59.57503,326.78,0.41,0.6,2025-09-06,1828,N,VIIRS,60,2.0NRT,291.14,2.07,D,326.78,0
-27.28736,-65.3867,334.1,0.57,0.43,2025-09-06,1828,N,VIIRS,60,2.0NRT,301.55,2.78,D,334.1,0
-27.28421,-65.32719,335.23,0.57,0.43,2025-09-06,1828,N,VIIRS,60,2.0NRT,304.08,9.87,D,335.23,0
-27.2283,-65.12541,347.45,0.39,0.44,2025-09-06,1828,N,VIIRS,60,2.0NRT,320.9,46.02,D,347.45,0
-27.22752,-65.12146,341.41,0.39,0.44,2025-09-06,1828,N,VIIRS,60,2.0NRT,301.83,19.96,D,341.41,0
-27.22427,-65.12639,349.07,0.39,0.44,2025-09-06,1828,N,VIIRS,60,2.0NRT,299.39,10.77,D,349.07,0
-27.2222,-65.37233,332.77,0.57,0.43,2025-09-06,1828,N,VIIRS,60,2.0NRT,302.68,3.82,D,332.77,0
-27.09073,-65.28085,342.38,0.39,0.44,2025-09-06,1828,N,VIIRS,60,2.0NRT,305.27,7.63,D,342.38,0
-27.08996,-65.27695,341.7,0.39,0.44,2025-09-06,1828,N,VIIRS,60,2.0NRT,302.91,8.83,D,341.7,0
-27.08673,-65.28181,337.2,0.39,0.44,2025-09-06,1828,N,VIIRS,60,2.0NRT,302.87,4.81,D,337.2,0
-27.08633,-65.27821,341.67,0.39,0.44,2025-09-06,1828,N,VIIRS,60,2.0NRT,303.61,14.89,D,341.67,0
-27.08595,-65.27792,341.62,0.39,0.44,2025-09-06,1828,N,VIIRS,60,2.0NRT,301.91,10.22,D,341.62,0
-27.0605,-62.97096,346.34,0.52,0.5,2025-09-06,1828,N,VIIRS,60,2.0NRT,300.6,8.58,D,346.34,0
-27.05776,-62.96814,345.06,0.52,0.5,2025-09-06,1828,N,VIIRS,60,2.0NRT,298.92,9.32,D,345.06,3
-27.0478,-65.29573,351.53,0.39,0.44,2025-09-06,1828,N,VIIRS,60,2.0NRT,307.57,17.05,D,351.53,0
-27.01697,-59.59946,333.62,0.41,0.61,2025-09-06,1828,N,VIIRS,60,2.0NRT,290.14,2.83,D,333.62,3
-26.97198,-63.12067,330.69,0.51,0.49,2025-09-06,1828,N,VIIRS,60,2.0NRT,302.84,4.0,D,330.69,0
-26.95221,-65.97643,349.31,0.54,0.42,2025-09-06,1828,N,VIIRS,60,2.0NRT,304.72,11.33,D,349.31,0
-26.9491,-65.98128,337.5,0.54,0.42,2025-09-06,1828,N,VIIRS,60,2.0NRT,300.13,7.84,D,337.5,0
-26.924,-61.8881,354.84,0.61,0.53,2025-09-06,1828,N,VIIRS,60,2.0NRT,292.09,16.81,D,354.84,0
